"","JWTR_label","AGEP","JWMNP","RAC1P_label","PINCP","DPHY_label"
"1","Car, truck, or van",20,20,"White alone",4000,"No"
"2","Subway or elevated",63,60,"White alone",15200,"No"
"3","Car, truck, or van",20,20,"White alone",4000,"No"
"4","Subway or elevated",60,60,"Black or African American alone",34300,"No"
"5","Walked",61,25,"White alone",36000,"No"
"6","Subway or elevated",29,50,"White alone",4700,"No"
"7","Walked",21,15,"Black or African American alone",15000,"No"
"8","Car, truck, or van",34,138,"White alone",122900,"No"
"9","Bus or trolley bus",29,45,"Black or African American alone",30000,"No"
"10","Subway or elevated",47,45,"White alone",4200,"No"
"11","Car, truck, or van",74,15,"White alone",59600,"No"
"12","Subway or elevated",31,60,"Some Other Race alone",39000,"No"
"13","Bus or trolley bus",73,35,"White alone",2900,"No"
"14","Car, truck, or van",40,60,"Black or African American alone",60000,"No"
"15","Walked",67,5,"White alone",38300,"No"
"16","Other method",59,20,"White alone",95000,"No"
"17","Subway or elevated",43,45,"Black or African American alone",50000,"No"
"18","Bus or trolley bus",58,90,"Asian alone",10000,"No"
"19","Subway or elevated",44,40,"Some Other Race alone",10400,"No"
"20","Subway or elevated",18,45,"White alone",1000,"No"
"21","Subway or elevated",25,75,"White alone",65000,"No"
"22","Bus or trolley bus",50,60,"Black or African American alone",25000,"No"
"23","Subway or elevated",49,20,"White alone",17900,"No"
"24","Subway or elevated",28,50,"Asian alone",55000,"No"
"25","Car, truck, or van",46,15,"Black or African American alone",35900,"No"
"26","Bus or trolley bus",61,138,"Black or African American alone",45000,"No"
"27","Subway or elevated",39,90,"White alone",54000,"No"
"28","Car, truck, or van",55,35,"Black or African American alone",50000,"No"
"29","Subway or elevated",26,60,"Asian alone",16200,"No"
"30","Bicycle",27,25,"White alone",25000,"No"
"31","Subway or elevated",32,30,"Asian alone",79850,"No"
"32","Car, truck, or van",55,40,"White alone",50000,"No"
"33","Car, truck, or van",55,60,"Some Other Race alone",80000,"No"
"34","Car, truck, or van",33,60,"Some Other Race alone",80000,"No"
"35","Railroad",32,60,"White alone",1e+05,"No"
"36","Subway or elevated",62,60,"Asian alone",60000,"No"
"37","Subway or elevated",45,45,"Black or African American alone",30000,"No"
"38","Bus or trolley bus",41,60,"Some Other Race alone",6700,"No"
"39","Subway or elevated",32,45,"White alone",90000,"No"
"40","Subway or elevated",34,35,"White alone",90000,"No"
"41","Walked",20,10,"Asian alone",3000,"No"
"42","Taxicab",53,30,"Black or African American alone",25000,"No"
"43","Subway or elevated",31,60,"Black or African American alone",90000,"No"
"44","Ferryboat",53,60,"White alone",660000,"Yes"
"45","Subway or elevated",57,35,"Black or African American alone",110120,"No"
"46","Subway or elevated",53,60,"Asian alone",102900,"No"
"47","Car, truck, or van",38,30,"Two or More Races",72200,"No"
"48","Walked",61,10,"Asian alone",7000,"No"
"49","Walked",48,30,"White alone",172000,"No"
"50","Subway or elevated",31,45,"Black or African American alone",3700,"Yes"
"51","Subway or elevated",60,45,"Black or African American alone",27000,"No"
"52","Subway or elevated",52,50,"Asian alone",35000,"No"
"53","Walked",27,10,"Asian alone",600,"No"
"54","Subway or elevated",53,60,"Asian alone",13000,"No"
"55","Taxicab",27,20,"Black or African American alone",21700,"No"
"56","Walked",50,10,"White alone",69000,"No"
"57","Car, truck, or van",23,25,"Asian alone",25000,"No"
"58","Car, truck, or van",25,20,"White alone",20000,"No"
"59","Subway or elevated",60,55,"White alone",60000,"No"
"60","Bus or trolley bus",69,55,"White alone",26000,"Yes"
"61","Taxicab",58,25,"Black or African American alone",38000,"No"
"62","Subway or elevated",76,40,"White alone",101900,"No"
"63","Car, truck, or van",71,45,"White alone",47300,"No"
"64","Subway or elevated",29,30,"Some Other Race alone",52000,"No"
"65","Other method",54,60,"Black or African American alone",52000,"No"
"66","Subway or elevated",55,60,"Asian alone",30000,"No"
"67","Subway or elevated",28,60,"Black or African American alone",6000,"Yes"
"68","Subway or elevated",44,45,"Some Other Race alone",19000,"No"
"69","Car, truck, or van",55,30,"Asian alone",1000,"No"
"70","Subway or elevated",23,60,"Asian alone",20000,"No"
"71","Walked",48,15,"Asian alone",8000,"No"
"72","Car, truck, or van",27,10,"White alone",42000,"No"
"73","Bus or trolley bus",27,90,"Black or African American alone",10200,"No"
"74","Car, truck, or van",52,15,"White alone",9000,"No"
"75","Subway or elevated",21,15,"White alone",4000,"No"
"76","Railroad",66,30,"Black or African American alone",50000,"No"
"77","Railroad",58,138,"Black or African American alone",24000,"No"
"78","Car, truck, or van",29,30,"White alone",50000,"No"
"79","Bus or trolley bus",46,60,"Some Other Race alone",20000,"No"
"80","Car, truck, or van",35,40,"Asian alone",35000,"No"
"81","Car, truck, or van",43,40,"Asian alone",130000,"No"
"82","Car, truck, or van",51,30,"Black or African American alone",60000,"No"
"83","Subway or elevated",26,45,"White alone",34000,"No"
"84","Bus or trolley bus",56,30,"White alone",27000,"No"
"85","Car, truck, or van",35,45,"White alone",126000,"No"
"86","Bus or trolley bus",54,45,"White alone",35000,"No"
"87","Subway or elevated",21,60,"Some Other Race alone",60000,"No"
"88","Subway or elevated",42,45,"White alone",1e+05,"No"
"89","Subway or elevated",60,40,"White alone",37000,"No"
"90","Subway or elevated",40,90,"White alone",171000,"No"
"91","Subway or elevated",38,70,"White alone",45000,"No"
"92","Subway or elevated",43,50,"White alone",40000,"No"
"93","Subway or elevated",26,80,"White alone",35000,"No"
"94","Car, truck, or van",33,30,"White alone",60000,"No"
"95","Ferryboat",57,40,"White alone",668000,"No"
"96","Subway or elevated",47,60,"Asian alone",6000,"No"
"97","Subway or elevated",24,45,"White alone",72000,"No"
"98","Subway or elevated",40,60,"Asian alone",15000,"No"
"99","Bus or trolley bus",48,40,"Black or African American alone",69000,"No"
"100","Car, truck, or van",45,45,"White alone",5900,"No"
"101","Subway or elevated",32,60,"Some Other Race alone",68000,"No"
"102","Car, truck, or van",26,40,"White alone",80000,"No"
"103","Walked",34,10,"White alone",25000,"No"
"104","Subway or elevated",44,138,"Black or African American alone",42000,"No"
"105","Subway or elevated",65,90,"Black or African American alone",78000,"No"
"106","Bus or trolley bus",42,10,"Asian alone",36000,"No"
"107","Walked",28,15,"Some Other Race alone",5800,"No"
"108","Walked",34,15,"White alone",53000,"No"
"109","Car, truck, or van",45,5,"Two or More Races",180000,"No"
"110","Car, truck, or van",34,10,"White alone",50000,"No"
"111","Subway or elevated",33,45,"White alone",73000,"No"
"112","Car, truck, or van",26,20,"Some Other Race alone",35000,"No"
"113","Subway or elevated",36,60,"Two or More Races",30700,"No"
"114","Walked",57,15,"Asian alone",50000,"No"
"115","Car, truck, or van",67,30,"White alone",196300,"No"
"116","Subway or elevated",27,45,"White alone",65000,"No"
"117","Car, truck, or van",51,20,"White alone",6300,"No"
"118","Subway or elevated",32,70,"White alone",20300,"No"
"119","Car, truck, or van",22,20,"White alone",10000,"No"
"120","Subway or elevated",32,30,"White alone",80000,"No"
"121","Bus or trolley bus",75,15,"White alone",35500,"No"
"122","Subway or elevated",21,45,"White alone",12000,"No"
"123","Walked",30,30,"White alone",44000,"No"
"124","Car, truck, or van",25,15,"White alone",55000,"No"
"125","Walked",45,15,"White alone",28000,"No"
"126","Subway or elevated",58,60,"Black or African American alone",28600,"No"
"127","Car, truck, or van",23,20,"Asian alone",32000,"No"
"128","Subway or elevated",53,90,"White alone",30000,"No"
"129","Subway or elevated",35,45,"White alone",80000,"No"
"130","Subway or elevated",29,90,"White alone",53000,"No"
"131","Subway or elevated",36,60,"White alone",24000,"No"
"132","Subway or elevated",29,50,"White alone",81000,"No"
"133","Subway or elevated",56,30,"Asian alone",9400,"No"
"134","Subway or elevated",45,90,"Asian alone",80000,"No"
"135","Subway or elevated",66,60,"White alone",102700,"No"
"136","Walked",49,5,"White alone",25900,"No"
"137","Subway or elevated",42,60,"Black or African American alone",50000,"No"
"138","Subway or elevated",27,90,"White alone",1e+05,"No"
"139","Car, truck, or van",20,60,"Asian alone",4000,"No"
"140","Car, truck, or van",43,60,"Some Other Race alone",40600,"No"
"141","Subway or elevated",25,60,"Asian alone",35000,"No"
"142","Taxicab",32,30,"White alone",122400,"No"
"143","Subway or elevated",23,40,"White alone",30000,"No"
"144","Subway or elevated",62,30,"Some Other Race alone",37000,"Yes"
"145","Subway or elevated",30,50,"White alone",70000,"No"
"146","Subway or elevated",28,30,"Some Other Race alone",25000,"No"
"147","Subway or elevated",65,30,"White alone",77000,"No"
"148","Car, truck, or van",61,45,"Black or African American alone",80000,"No"
"149","Subway or elevated",30,45,"White alone",80000,"No"
"150","Bus or trolley bus",31,40,"Black or African American alone",39000,"No"
"151","Subway or elevated",25,50,"Asian alone",80000,"No"
"152","Subway or elevated",35,90,"Black or African American alone",75000,"No"
"153","Taxicab",18,10,"Black or African American alone",2500,"No"
"154","Walked",68,30,"White alone",50300,"No"
"155","Car, truck, or van",30,60,"Asian alone",20000,"No"
"156","Subway or elevated",23,45,"White alone",14000,"No"
"157","Subway or elevated",25,40,"Some Other Race alone",12000,"No"
"158","Car, truck, or van",51,7,"White alone",24000,"No"
"159","Car, truck, or van",63,15,"Asian alone",140000,"No"
"160","Walked",26,15,"Some Other Race alone",8000,"No"
"161","Car, truck, or van",41,20,"Black or African American alone",71000,"No"
"162","Subway or elevated",23,25,"White alone",20000,"No"
"163","Bus or trolley bus",70,60,"White alone",51100,"No"
"164","Subway or elevated",45,45,"Two or More Races",6200,"No"
"165","Railroad",29,30,"Two or More Races",6000,"No"
"166","Subway or elevated",45,30,"Some Other Race alone",10000,"No"
"167","Walked",45,5,"Asian alone",220000,"No"
"168","Car, truck, or van",48,50,"Some Other Race alone",26000,"No"
"169","Car, truck, or van",29,30,"White alone",70000,"No"
"170","Car, truck, or van",57,15,"White alone",40000,"No"
"171","Subway or elevated",30,40,"Asian alone",150000,"No"
"172","Subway or elevated",28,50,"White alone",9000,"No"
"173","Subway or elevated",47,20,"Two or More Races",180300,"No"
"174","Subway or elevated",26,50,"White alone",45000,"No"
"175","Car, truck, or van",52,10,"White alone",80000,"No"
"176","Subway or elevated",30,20,"White alone",54000,"No"
"177","Car, truck, or van",32,45,"Two or More Races",8500,"No"
"178","Bus or trolley bus",28,30,"Black or African American alone",16000,"No"
"179","Walked",27,20,"White alone",50210,"No"
"180","Subway or elevated",58,90,"Asian alone",74000,"No"
"181","Subway or elevated",65,70,"Some Other Race alone",5600,"Yes"
"182","Car, truck, or van",62,35,"Asian alone",11800,"No"
"183","Car, truck, or van",25,30,"White alone",15000,"No"
"184","Bus or trolley bus",56,25,"Some Other Race alone",27600,"No"
"185","Walked",44,10,"Asian alone",10000,"No"
"186","Walked",25,15,"Asian alone",16000,"No"
"187","Bus or trolley bus",37,45,"Asian alone",45000,"No"
"188","Subway or elevated",43,75,"Black or African American alone",44900,"No"
"189","Car, truck, or van",59,35,"Black or African American alone",97000,"No"
"190","Subway or elevated",60,40,"White alone",52000,"No"
"191","Subway or elevated",52,50,"Some Other Race alone",18800,"Yes"
"192","Subway or elevated",24,60,"Two or More Races",38000,"No"
"193","Subway or elevated",33,18,"Asian alone",99000,"No"
"194","Car, truck, or van",39,5,"Black or African American alone",20400,"No"
"195","Car, truck, or van",46,15,"White alone",45000,"No"
"196","Car, truck, or van",30,60,"Asian alone",22900,"No"
"197","Car, truck, or van",30,20,"White alone",30000,"No"
"198","Car, truck, or van",31,35,"Black or African American alone",1e+05,"No"
"199","Car, truck, or van",67,15,"Black or African American alone",35200,"Yes"
"200","Bus or trolley bus",56,40,"Two or More Races",45000,"No"
"201","Subway or elevated",22,35,"Asian alone",35000,"No"
"202","Subway or elevated",27,20,"White alone",5000,"No"
"203","Subway or elevated",30,35,"Black or African American alone",60000,"No"
"204","Car, truck, or van",69,30,"White alone",58400,"No"
"205","Subway or elevated",28,45,"White alone",65000,"No"
"206","Subway or elevated",31,40,"Black or African American alone",16000,"No"
"207","Subway or elevated",25,40,"Black or African American alone",46000,"No"
"208","Walked",63,60,"Some Other Race alone",12000,"No"
"209","Car, truck, or van",58,40,"Black or African American alone",59000,"No"
"210","Subway or elevated",71,45,"White alone",80500,"No"
"211","Walked",47,25,"Asian alone",116400,"No"
"212","Bus or trolley bus",40,30,"White alone",39000,"No"
"213","Bus or trolley bus",58,60,"Black or African American alone",48000,"No"
"214","Bus or trolley bus",32,40,"White alone",52000,"No"
"215","Bus or trolley bus",39,25,"White alone",25000,"No"
"216","Walked",33,15,"White alone",96000,"No"
"217","Car, truck, or van",74,20,"Asian alone",28000,"Yes"
"218","Subway or elevated",31,25,"White alone",100500,"No"
"219","Car, truck, or van",69,25,"Black or African American alone",54000,"No"
"220","Walked",45,10,"Asian alone",12000,"No"
"221","Car, truck, or van",25,20,"Some Other Race alone",17500,"No"
"222","Subway or elevated",26,60,"White alone",70000,"No"
"223","Walked",19,15,"White alone",820,"No"
"224","Car, truck, or van",54,45,"Black or African American alone",92000,"No"
"225","Subway or elevated",26,138,"Two or More Races",121000,"No"
"226","Subway or elevated",35,45,"White alone",190000,"No"
"227","Car, truck, or van",65,25,"White alone",181000,"No"
"228","Subway or elevated",50,138,"Black or African American alone",6100,"No"
"229","Subway or elevated",27,25,"White alone",64000,"No"
"230","Subway or elevated",64,60,"Asian alone",5200,"No"
"231","Car, truck, or van",36,12,"White alone",86000,"No"
"232","Car, truck, or van",33,50,"Black or African American alone",65000,"No"
"233","Walked",25,8,"White alone",130000,"No"
"234","Subway or elevated",24,35,"White alone",35000,"No"
"235","Car, truck, or van",66,30,"White alone",118700,"No"
"236","Bicycle",30,35,"White alone",50000,"No"
"237","Subway or elevated",69,60,"White alone",86000,"Yes"
"238","Subway or elevated",33,30,"White alone",72080,"No"
"239","Subway or elevated",49,80,"Black or African American alone",40000,"No"
"240","Car, truck, or van",25,30,"White alone",52000,"No"
"241","Bicycle",51,25,"White alone",30000,"No"
"242","Car, truck, or van",47,45,"White alone",55000,"No"
"243","Walked",52,15,"Asian alone",22000,"No"
"244","Bus or trolley bus",39,45,"Black or African American alone",80000,"No"
"245","Car, truck, or van",63,20,"White alone",50000,"No"
"246","Subway or elevated",52,60,"Asian alone",18000,"Yes"
"247","Subway or elevated",23,25,"White alone",17300,"No"
"248","Subway or elevated",34,40,"Asian alone",4400,"No"
"249","Subway or elevated",27,90,"Asian alone",38400,"No"
"250","Bus or trolley bus",59,80,"Asian alone",29500,"No"
"251","Subway or elevated",24,30,"Asian alone",32000,"No"
"252","Subway or elevated",46,70,"Some Other Race alone",24000,"No"
"253","Car, truck, or van",63,20,"White alone",39800,"No"
"254","Walked",60,20,"Asian alone",12000,"No"
"255","Car, truck, or van",65,20,"Black or African American alone",20000,"No"
"256","Car, truck, or van",50,10,"Black or African American alone",77000,"No"
"257","Bus or trolley bus",58,60,"White alone",24000,"No"
"258","Car, truck, or van",33,20,"White alone",35000,"No"
"259","Subway or elevated",62,45,"Black or African American alone",440,"No"
"260","Bus or trolley bus",24,30,"White alone",29000,"No"
"261","Walked",50,8,"Some Other Race alone",10000,"Yes"
"262","Walked",42,5,"Black or African American alone",63000,"No"
"263","Bus or trolley bus",25,30,"Two or More Races",57000,"No"
"264","Subway or elevated",36,60,"Black or African American alone",30000,"No"
"265","Walked",42,20,"Black or African American alone",70000,"No"
"266","Subway or elevated",34,60,"White alone",120000,"No"
"267","Bus or trolley bus",53,25,"Black or African American alone",65000,"No"
"268","Walked",20,20,"Asian alone",26200,"No"
"269","Taxicab",66,20,"Black or African American alone",106000,"No"
"270","Car, truck, or van",45,15,"Some Other Race alone",5300,"No"
"271","Car, truck, or van",50,45,"White alone",50000,"No"
"272","Walked",47,20,"White alone",61000,"No"
"273","Car, truck, or van",44,45,"White alone",25000,"No"
"274","Car, truck, or van",26,5,"Some Other Race alone",35000,"No"
"275","Walked",57,30,"Some Other Race alone",45000,"No"
"276","Car, truck, or van",72,50,"White alone",77800,"No"
"277","Bus or trolley bus",53,60,"Asian alone",71000,"No"
"278","Car, truck, or van",47,2,"White alone",25000,"No"
"279","Bus or trolley bus",52,45,"Black or African American alone",42000,"No"
"280","Bus or trolley bus",27,40,"Some Other Race alone",49600,"No"
"281","Bus or trolley bus",56,75,"Some Other Race alone",2500,"No"
"282","Car, truck, or van",32,25,"White alone",39400,"No"
"283","Subway or elevated",29,30,"White alone",50000,"No"
"284","Car, truck, or van",54,15,"Some Other Race alone",69000,"No"
"285","Subway or elevated",28,30,"White alone",50000,"No"
"286","Car, truck, or van",44,15,"Black or African American alone",43280,"No"
"287","Other method",27,60,"White alone",15000,"No"
"288","Subway or elevated",38,60,"Native Hawaiian and Other Pacific Islander alone",52000,"No"
"289","Subway or elevated",23,138,"Two or More Races",12000,"No"
"290","Subway or elevated",24,45,"White alone",40030,"No"
"291","Subway or elevated",38,25,"Some Other Race alone",34000,"No"
"292","Subway or elevated",39,20,"White alone",95000,"No"
"293","Bus or trolley bus",57,30,"Some Other Race alone",10000,"No"
"294","Bus or trolley bus",71,30,"Black or African American alone",35700,"No"
"295","Car, truck, or van",45,30,"White alone",35000,"No"
"296","Subway or elevated",61,90,"Black or African American alone",30000,"No"
"297","Subway or elevated",33,90,"Asian alone",53000,"No"
"298","Subway or elevated",42,60,"White alone",13000,"No"
"299","Bus or trolley bus",58,70,"Black or African American alone",10000,"No"
"300","Subway or elevated",33,20,"White alone",290000,"No"
"301","Subway or elevated",27,35,"Two or More Races",55000,"No"
"302","Subway or elevated",39,45,"White alone",75000,"No"
"303","Car, truck, or van",39,20,"White alone",50000,"No"
"304","Subway or elevated",28,45,"Asian alone",93000,"No"
"305","Bus or trolley bus",64,90,"White alone",74500,"No"
"306","Bus or trolley bus",44,30,"Some Other Race alone",2400,"No"
"307","Subway or elevated",21,30,"White alone",1000,"No"
"308","Subway or elevated",66,20,"White alone",219800,"No"
"309","Railroad",46,35,"Black or African American alone",52000,"No"
"310","Subway or elevated",19,45,"Black or African American alone",28600,"No"
"311","Car, truck, or van",64,15,"White alone",30000,"No"
"312","Taxicab",25,15,"Black or African American alone",93000,"No"
"313","Walked",19,15,"White alone",8000,"No"
"314","Car, truck, or van",25,30,"White alone",75000,"No"
"315","Subway or elevated",21,50,"White alone",25300,"No"
"316","Car, truck, or van",38,60,"Black or African American alone",30000,"No"
"317","Car, truck, or van",26,45,"White alone",14000,"No"
"318","Car, truck, or van",31,25,"Black or African American alone",76000,"No"
"319","Subway or elevated",71,75,"White alone",135000,"No"
"320","Car, truck, or van",33,30,"White alone",140000,"No"
"321","Subway or elevated",31,40,"Some Other Race alone",36700,"No"
"322","Car, truck, or van",61,30,"Black or African American alone",150000,"No"
"323","Walked",24,20,"White alone",30000,"No"
"324","Walked",30,10,"White alone",44000,"No"
"325","Car, truck, or van",44,60,"White alone",120000,"No"
"326","Car, truck, or van",32,40,"Asian alone",12000,"No"
"327","Subway or elevated",53,90,"Black or African American alone",50000,"Yes"
